,significance,ra,dec,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,EBV_FLAG,DECALS_FOOT,DELVE_FOOT,pmra,pmdec,names,edr3,RR_LYRAE,SGR,LMC,NSTARS,MAG_AVG
655,9.605674744,76.21497651,-5.197019143,205.0625512,-26.02612001,FALSE,TRUE,FALSE,TRUE,FALSE,0.017967547,-0.576090065,DEC_-6.0_-5.0/DEC_-5.9_RA_77.1,0,FALSE,FALSE,FALSE,12,19.255047
656,9.603147507,237.0459424,24.14826915,38.83264264,50.25370318,FALSE,TRUE,FALSE,TRUE,FALSE,-1.738735333,-1.458106888,DEC_24.0_25.0/DEC_24.5_RA_236.1,0,FALSE,FALSE,FALSE,17,19.87059106
657,9.601114273,236.70408,45.67992638,72.99264552,50.77704604,FALSE,TRUE,FALSE,TRUE,FALSE,0.242386373,-0.221236452,DEC_44.0_45.0/DEC_44.8_RA_236.2,0,FALSE,FALSE,FALSE,6,19.4062655
658,9.600702286,320.3157691,-9.392237847,42.23923609,-37.47453712,FALSE,TRUE,FALSE,TRUE,FALSE,1.615528577,-3.574408843,DEC_-9.0_-8.0/DEC_-9.0_RA_320.4,0,FALSE,FALSE,FALSE,8,19.43485225
659,9.600214958,349.2683186,-27.3884823,26.76760622,-69.05853022,FALSE,FALSE,FALSE,FALSE,FALSE,0.058372855,0.079559582,DEC_-29.0_-28.0/DEC_-28.1_RA_348.6,0,FALSE,FALSE,FALSE,6,19.75904167
660,9.60021019,125.6732124,39.21302955,182.1362043,33.75511274,FALSE,TRUE,FALSE,TRUE,FALSE,0.186785865,-0.962731133,DEC_39.0_40.0/DEC_39.7_RA_125.1,0,FALSE,FALSE,FALSE,11,19.098504
661,9.59976387,189.0055492,38.83786096,137.3420856,77.85577456,FALSE,TRUE,FALSE,TRUE,FALSE,0.085549347,0.131057131,DEC_39.0_40.0/DEC_39.5_RA_189.5,0,FALSE,FALSE,FALSE,5,18.8765328
662,9.597915649,201.808247,-11.90036984,316.6341472,50.01665156,FALSE,TRUE,FALSE,FALSE,TRUE,-3.515969254,-1.574345295,DEC_-12.0_-11.0/DEC_-11.4_RA_201.9,0,FALSE,FALSE,FALSE,5,19.3071608
663,9.59748745,138.3625054,33.37447427,191.3842364,43.03651756,FALSE,TRUE,FALSE,TRUE,FALSE,-0.888912128,-0.310295326,DEC_34.0_35.0/DEC_34.1_RA_138.6,0,FALSE,FALSE,FALSE,7,19.048703
664,9.597117424,354.0352675,86.28674031,121.6251542,23.60762248,FALSE,TRUE,TRUE,FALSE,FALSE,-0.240388365,-0.507488468,DEC_86.0_87.0/DEC_86.7_RA_357.0,0,FALSE,FALSE,FALSE,39,19.62716756
