,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
32,3934373077462665856,16.36088111008107,191.47036528099633,-0.2259144924535143,0.10402642021933667,1.6725370348495603,1.0080984239565711,-0.7599838870383954,1.0514800109047988,20.591988,0.6093712,0.27662659999999994,0.8859978000000001,109.28272686310996,0.7273939948380539,20.868614,62.1025627914894,7.109289908547576,19.982616,81.60594024378605,7.175656984311762,0.0720102581056126,0.0919003972566006,0.05134082727932545,20.62501093402049,0.08320093391213648,20.805925796213522,1.4309574333544737,20.285454740260025,1.0991321469484199,-10.121071265002154,-9.835197233463475
212,3934375379565134848,16.359362287645386,191.32934406600552,0.3051974126926569,0.19494306135603687,0.6159214836233678,0.35587067966498803,-0.2318664480904969,0.321430710536044,19.087515,0.4631443,0.15485954,0.61800385,436.85795111576965,1.2662792679077381,19.242373999999998,277.71916192758323,8.439340147452452,18.624370000000003,285.11484174504625,5.421202934065169,0.07560934347459744,0.0943928994289174,0.051893830082007604,19.11694004507896,0.036232580426702805,19.177192485528266,0.3798504615632651,18.926656606824924,0.23767628602235683,-11.55187431739861,-11.533619404789434
1467,3934372940023694720,16.341869234891483,191.44424965915692,-0.7053410551051942,-0.016086474644991227,1.2810321322314024,0.8005158746998318,-0.38775900402684665,0.7562962161020186,20.344194,0.47829628,0.036104202,0.5144005,137.29930422947385,1.3751499552736095,20.380299,97.37235757492235,8.051005174186205,19.865898,90.86748575036393,6.330678824978445,0.07703686598601085,0.09536187988093389,0.05208745986955839,20.37219229292621,0.12519636962027736,20.31414890699136,1.0335332037112568,20.16799126126275,0.8708668965446051,-10.257080717193553,-10.338856677448927
2442,3934375555658998016,16.382757073532723,191.3695809400741,-0.09105544413977223,-0.3528904121439205,0.8014740615975371,0.4363671032331423,-0.06461915811338591,0.4222770293927632,19.398296,0.32123947,0.19785881,0.5190983,328.11632342429624,2.5957084907750314,19.596155,200.49025873178687,9.848354101289583,19.077057,187.90798560452168,6.6198604804458405,0.0769717161615501,0.09531813306429314,0.05207889799237955,19.426358692354007,0.09888674783403145,19.530048676188674,0.6140169953633867,19.379158009788707,0.4403658297935679,-11.204822571995049,-11.282128188793308
3507,3934376994472881024,16.39442617380595,191.3910467229729,-0.6194573186467535,0.13358947058222131,0.5012349107053811,0.25462864181127154,-0.03514316892217716,0.2505139124004937,18.753595,0.61841774,0.43138695,1.0498047,594.1659676013919,1.11044432146189,19.184982,292.79406381543066,5.723402577997332,18.135178,447.4009171657129,5.790603708327402,0.06988042338217196,0.09044369959215004,0.050960196003504904,18.788750144528134,0.023361408722731947,19.12375063172284,0.24434420320100853,18.43839762884843,0.16178452832112264,-11.986487104229933,-11.536107793960628
6810,3934376723890126080,16.407922564317442,191.45689452100305,-0.20735166879741565,-0.5257168498258531,0.7908825892506629,0.4602066075267564,-0.2089129488043583,0.4179172002218057,19.376286,0.42128372,0.044487,0.46577072,334.8360573877659,2.296152544993181,19.420773,235.63831055128225,8.432754390422884,18.955002,210.2650905053703,8.563882345985727,0.0777135784594435,0.09581307241662407,0.052174930077227614,19.4036058726002,0.08571928315108474,19.354172176764916,0.4473357054448312,19.25700713380106,0.5091122309820018,-11.205274333153042,-11.332902736687377
