,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
45,2373141745127936000,-13.424358664347446,13.165145529293868,-0.7325304872282209,-2.4111090116239082,0.13118846201052836,0.09726426168331173,0.008938534744189427,0.0651953348693853,16.596292000000002,0.72192955,0.5876579000000001,1.3095875,4333.408355749535,2.282265278147625,17.18395,1849.162578355636,7.1545606601646075,15.874363,3589.4070364073937,9.894977967243713,0.052382313691284016,0.06944112192838926,0.03951383039177639,16.648943645298857,0.00658334355657808,17.1437211380607,0.04836351832924546,16.18902939501901,0.03445895752027719,-14.143829088965852,-13.434315344701297
189,2373146830369692160,-13.41013940649732,13.264896760339038,-1.065570623759467,-3.155221436401145,1.2845516409255844,0.9063381444745976,-0.2599202349038652,0.6576577734923559,20.079935,0.5278301,0.22551727,0.7533474,175.134631746385,0.8954639698767294,20.305452,104.32170414916858,6.338575058846648,19.552104999999997,121.31831988886509,5.105165009619157,0.05801148036246127,0.07319471774479035,0.0405714827550775,20.126958435851154,0.06391254266413908,20.26146860007645,0.7594985998531022,19.865712549169775,0.5260092843248857,-10.587940328359924,-10.426692021222593
1579,2373140542537556992,-13.49334802279276,13.209706636717575,-0.9444781497410653,-2.7392498754248136,0.2094975339867093,0.1537641384935892,0.02193636809001532,0.11764874632464485,17.500347,0.5935459,0.42679214,1.020338,1884.5482978113446,1.6826904229059505,17.927139999999998,932.6085838235845,7.408054157875784,16.906801,1386.9077963626987,7.157537689506962,0.05524636914598266,0.07128747168348849,0.0401051189909685,17.550135450435896,0.01116109908711397,17.88506400724867,0.0992921130897118,17.22087590724063,0.06450985519980405,-13.222134866844893,-12.79274377200769
3859,2373135697814426624,-13.59190945506412,13.250108374835598,-0.9954026530625496,-3.0799625620137387,0.20155902191782865,0.12956499064986174,-0.1334593920007101,0.10281818758430196,17.281034,0.6266421999999999,0.47830963,1.1049518999999999,2306.388404609243,1.739468628678279,17.759344,1088.4727711203282,7.275784532438735,16.654392,1749.8906763895754,9.944417479688562,0.054393932126342796,0.07071651194219927,0.039942115686126614,17.33167495295918,0.009427448479633822,17.71783956469793,0.08355496716916051,16.96863059134645,0.0710359910897846,-13.45111959640338,-12.937816588108031
4874,2373140959150124288,-13.491767611964708,13.157256311934495,-1.046061627095792,-2.652797532503256,1.285819655333309,0.9728568252246216,-0.3154036198245962,0.6530742411268421,20.294082999999997,0.48870277,0.23133278,0.72003555,143.7849996062122,0.7515388786110779,20.525415,85.1900581811943,6.133686210595349,19.80538,96.07624626965516,4.735789893999883,0.05836421621283068,0.0734393950368433,0.04062500385790679,20.340751832370536,0.06533529928968054,20.48118831784035,0.9000002966234268,20.118934929394705,0.6161499431279873,-10.364443622052661,-10.23646807056426
6653,2373135117994576640,-13.596686571487437,13.152864241242671,-0.8870329904588296,-2.6163330551107733,0.9607799451550604,0.7671074116677914,-0.7848730195140782,0.5507871560047901,19.939273999999997,0.61257744,0.34089088,0.9534683,199.35949752044812,0.9195209074620972,20.280165,106.77981980105531,6.455839076881144,19.326696,149.31030774199385,7.6004775748837945,0.05592832430370664,0.07175248764379152,0.04022852723397068,19.988379349810245,0.0576546965970221,20.237624553311115,0.755741942731924,19.64064699630439,0.6362988002825394,-10.772951243493235,-10.410522474476267
10617,2373186451443676160,-13.50704029106528,13.053667160258444,-0.5316995399264535,-1.8872041094062249,0.7449510151337478,0.5517682480241733,-0.2298417488427065,0.3751881387093993,19.355867,0.5983982,0.34646797,0.9448662,341.19246423160257,0.7818852095417519,19.702335,181.81141854833726,5.972369242178128,18.75747,252.22036698641446,6.143818050273036,0.056016573759214365,0.07181306841818849,0.040244067629001706,19.404884849916883,0.028645313551349628,19.659734043266734,0.41061565947453715,19.071405549214187,0.3044866144079061,-11.354870777603253,-11.001084967686115
