,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
58,3982860543815597952,17.953542775606035,161.5669738489106,-2.770418202619344,-1.286416120775394,0.5667837406809013,0.50532473581739,-1.2189337529475115,0.4058066300389565,19.003782,0.63557434,0.36525536,1.0008297,471.8822492115264,1.8817555968794524,19.369038,247.1382886864524,10.785762544645515,18.368208,360.9814231677266,11.193471533975963,0.057957328732202586,0.07466432928334148,0.04196463270535555,19.050858569267053,0.049847064602019354,19.323585583040455,0.5455327562744413,18.68042323526829,0.3876055253671261,-11.718237279579345,-11.30974874984783
385,3982860543815600896,17.960406038866417,161.57971065404496,-1.4983424827463283,-1.7883100634451885,0.4599554445864793,0.3886051545925148,-0.20783431798266344,0.3047535409654439,18.591542999999998,0.6379852,0.40909576,1.047081,689.8097046790429,2.112067051571964,19.000639000000003,346.97634619309287,7.866749913780173,17.953557999999997,528.8650467226148,10.0573760905574,0.0574672169473822,0.07433270012186745,0.041873516870374015,18.639109533043374,0.03827263949110926,18.955517626358873,0.2834036815510442,18.265864320720723,0.23771130633616083,-12.136702470938445,-11.682065915910918
1837,3982855909545985536,17.86600479805997,161.61082187668336,-1.7819975885605477,-1.30773446361459,0.12841272264624598,0.10520128130357344,-0.03769112448982338,0.07337017177004583,16.619213000000002,0.668561,0.52373695,1.1922979,4242.885680382922,3.8006599132802283,17.14295,1920.3261957252546,9.80007151125659,15.950652,3345.854902730798,10.170808346256457,0.055952510070160597,0.07333658387292803,0.04157136269882846,16.66829416401773,0.011197155071996947,17.098825900395713,0.06379171109752119,16.263260879050904,0.037997793695250026,-14.1213717598189,-13.52423182085565
2793,3982843608759647616,17.81938372741731,161.70513503460538,-2.0438414739044357,-2.26367060917602,0.1521239425690411,0.11953457104400975,-0.10634308603340704,0.07750091472671712,16.652441,0.7030773,0.53663445,1.2397118,4115.001893898427,3.6492200293482338,17.189075,1840.455758933899,24.29882269439719,15.949364000000001,3349.828104026764,13.501658549157504,0.05546604478676398,0.07302885782913787,0.041467163454396785,16.70200885664054,0.011085110418658502,17.145257686439784,0.1650326459658592,16.262076531929626,0.050381908152717675,-14.089788929696336,-13.447213607809395
2807,3982861952564075904,18.026311020760087,161.5214484938087,-2.0553339205576058,-1.4133384609839248,0.4980688529290244,0.3845554250866229,-0.6849257802735824,0.2971997084835662,18.924313,0.5554123000000001,0.34645844,0.9018707,507.71665274677804,1.9374266968861176,19.270771,270.5497001433942,9.44526376527249,18.3689,360.75101541443087,10.934504326536944,0.05901810472671401,0.0753920479189607,0.042151781860511016,18.970328374798864,0.04769950636847642,19.224590309755882,0.4363922673110708,18.680929312673936,0.3788798873502609,-11.780688944459406,-11.471593570266108
3012,3982844429098114048,17.874743920499895,161.72072521651282,-1.4023636338987913,-1.4721312163783942,0.2713621371226157,0.21634395426833672,0.043554302200725474,0.14276735978723598,17.735779,0.59282684,0.41098595,1.0038128000000002,1517.1708831756976,2.9631717287373656,18.146765,761.8142176396753,12.820198451288329,17.142951999999998,1115.8014872255458,9.504370544407255,0.05792560763704532,0.07464276057344471,0.04195882762021829,17.782888144020625,0.024413628695329804,18.101334555471556,0.21035637945641586,17.455173832540705,0.10647470286179657,-12.98667421698294,-12.57520198027084
3789,3982843608759647360,17.820980966347026,161.70777300374212,-2.363715013168518,-2.4566636904797545,0.9343549693153071,0.7197505087785169,-0.04481919852537634,0.5114742804509852,19.66465,0.57603073,0.23947906,0.8155098000000001,256.7356318416994,1.721629281235974,19.904129,150.97457727225236,11.200757781807,19.088620000000002,185.91761393308997,19.086956114719147,0.05995706283677827,0.07604278523900142,0.042306865826938794,19.7097275677993,0.08382305900070355,19.857297659109545,0.927371182633673,19.400491791647983,1.2832939622377821,-11.021411455821571,-10.79925768163951
4486,3982853470004563712,17.772420408614774,161.56839553965582,-1.7287829520767144,-1.6273776451903692,0.2464399875859249,0.17607948251035652,0.04144165832824261,0.1261590221056038,17.600206,,,,1718.9521079610572,2.7789455982924576,,,,,,,,,,,0.020208137165531014,,,,,,
4791,3982836629437342720,17.666663008232106,161.72898848885976,-2.175356787428863,-1.5474019925033293,0.11401698795231685,0.08133274597713343,0.00608067023316505,0.05769864304193315,16.0546,0.7217884,0.59217834,1.3139668,7136.845864669903,6.18903672675733,16.646778,3032.801318597704,9.855258631719503,15.332810999999998,5910.761149186063,21.747658845959855,0.05471238467568206,0.07256722204379801,0.041298199873157214,16.104921821955948,0.010839936934527708,16.603422877355076,0.04061945375091511,15.645693274909052,0.045991663123104286,-14.687832912160054,-13.97551381232373
4841,3982860131498728832,17.935154298783647,161.55409256605842,-1.8610087634924553,-1.1496294955472044,1.7604416920069252,1.5373648417988128,0.07306906321734781,1.110568537296435,20.58965,,,,109.51819805669129,1.2349964953977095,,,,,,,,,,,0.14095790897217175,,,,,,
