,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
373,732463516501970304,29.525662796159573,167.78807615446712,-1.5887006819659049,-1.2668945316826616,0.21621072281988826,0.18632621176426006,0.03683171018520743,0.15519187740684726,17.508024,0.64151573,0.48620033,1.1277161,1871.2700385581506,2.4983932980804955,17.994225,876.7298664589296,10.583587448684415,16.866508,1439.3442368228573,15.237294143537815,0.04925486727777333,0.06415852308509244,0.03627265077424086,17.56380397263953,0.016689155270219278,17.95927697348283,0.15089578691197986,17.184415666201804,0.1323284395223265,-13.221434861291637,-12.683057676320459
602,732461970313439360,29.437605816642638,167.77255291448597,-0.9812924008953924,-2.072448107571216,1.7617682055656776,1.5662858419709835,-0.0794803658309243,1.3102938107990565,20.632260000000002,0.4591484,-0.42348862,0.03565979,105.3034558104138,1.2779409113696838,20.20877,114.03730680009191,23.694358961489247,20.173111,68.47366771365003,10.709955279725586,0.059975442252406835,0.07112257367652894,0.03777711577879592,20.67731799790434,0.15169740887593264,20.166860046076597,2.5972157299174032,20.489513906778022,1.955122975979894,-9.709704815312005,-10.185986335081619
923,732560823280685440,29.61911919968941,167.7984051799985,-1.3516218543334344,-1.9219091477252317,0.8673050566220105,0.5311442778368899,-0.8316852923582485,0.4070022267507687,19.114520000000002,0.5437316999999999,0.27982140000000005,0.8235530999999999,426.1266385705069,1.8773029874046419,19.39434,241.44528543470116,14.206552274044645,18.570787,299.53850441222625,18.41219918272068,0.052080541284923544,0.06608221685405767,0.03678049805076877,19.167472748169576,0.0550688110494066,19.3574709591538,0.7354954274871731,18.88818785935189,0.7683569437446066,-11.566755544497735,-11.332123850264615
1900,732461729795253632,29.426651665058692,167.76884158414117,-0.225817711608297,-2.5897177242450784,0.9167114578742328,0.9520430957368982,0.0965539378727523,0.4758423511981447,19.192158,1.026928,0.94787216,1.9748001,396.7191114275962,1.6860494247494409,20.14003,121.49085009545914,15.449957114253836,18.165229999999998,435.18725678511765,9.96476437354188,0.042166554153279724,0.060894373837061096,0.034297563541943354,19.25502563947088,0.0531247857798614,20.10834669887211,1.5896214717110717,18.485112011948583,0.28622059292231816,-11.414420663321536,-10.207830482734707
1968,732564774650848640,29.777253199976798,167.85780764276188,-0.5379411890585287,-1.5968859846678622,1.9026744666558104,1.7374700127328877,-0.5231133663507234,1.4935730554225841,20.67588,0.65273285,0.034578323,0.6873111999999999,101.15650880997885,1.1112536993159767,20.710459,71.84084809623549,8.309691504074934,20.023148000000003,78.61560678738948,13.749166953362227,0.05338901863047177,0.06698981911903808,0.03698161593605936,20.72752640079194,0.13731861058533712,20.672681554314238,1.445850745829093,20.34034645698006,2.186138273814051,-9.96853194008349,-9.870146751779426
2466,732461661075780480,29.41477984320721,167.77795207718503,-1.1845576307826091,-2.2687131727926166,1.5303571112283505,1.3969214875118154,-2.0222388164723943,1.1716266432473001,20.495663,0.52492714,0.19726181,0.72218895,119.42107235805727,1.3416689081384665,20.692923999999998,73.0105268636415,5.374149099481398,19.970736,82.50381132473704,8.410055177681823,0.05305162665975094,0.06675630542221676,0.03693153201107933,20.547645956663462,0.14043469063355227,20.655379988482437,0.9200983286832144,20.28798343906656,1.2741919195374558,-10.159075420273801,-10.026000727061689
4322,732559556265565696,29.64042130086859,167.93022666711113,-0.13444414153973644,-2.5736699483608425,1.150869842002003,0.6609337115665416,-0.03661227730962141,0.5276791655610428,19.569487,,,,280.253953356753,1.8002349336536492,,,,,,,,,,,0.08029480548317261,,,,,,
4490,732460733362958080,29.403136731084327,167.6907305748743,-0.9419793755429156,-1.1956531279437557,0.3538647612861779,0.34236844593052496,-0.16017927223314088,0.2465086023226246,18.368456,0.6459522,0.5130062,1.1589584,847.1563343824303,2.708821481356912,18.881462,387.23147586506417,9.240006873766184,17.722504,654.2843883222217,13.76551171541166,0.048972436395623625,0.06397425273474275,0.036215362573707374,18.424518657333266,0.0399693269621188,18.84669911870817,0.29827142967666403,18.040468242787675,0.2629879292762604,-12.363246581053332,-11.794395109286143
4611,732453827055542784,29.322953881140357,167.6527418913991,-0.8098561005747309,-2.447319709273986,1.3764530025669697,1.6554236141373468,-0.265877168362348,0.7853536736676545,19.8101,0.3888607,0.5403786,0.9292393,224.54621115271797,1.6459200817977857,20.350479999999997,100.08372287997216,19.165112707348975,19.42124,136.8584874028609,8.823445371167589,0.05108341123677832,0.0653922979472288,0.03661378844000982,19.864052260121092,0.0916247970377891,20.314299072745506,2.393635068203498,19.738806872194093,0.8058913205355891,-10.893295845690371,-10.552344780038535
5072,732564740290873984,29.76520456156071,167.84812105873786,-0.08094501919024001,-1.6907600797478746,1.3488212764997378,1.2486309620583398,-0.1933429924057651,0.9015262559908666,20.330603,0.48293877,0.14627647,0.62921524,139.02884415471635,1.5889842683672666,20.476879999999998,89.0847950210343,6.59193546607524,19.847664,92.40653113827958,7.9882577174701215,0.053954644361557454,0.06737944315031058,0.03706300950114556,20.381683075188956,0.1428646226281457,20.43871159423133,0.9249523816773084,20.16478032172684,1.0805861905902898,-10.295260634369047,-10.254219679388143
5628,732570547086661632,29.800688003439323,167.92230419200095,-0.3306527032456387,-2.4166549266519097,1.3876046479925486,1.06226057280675,-0.5147687908713261,0.7808611588601436,20.302832000000002,0.32263374,0.17346191,0.49609566,142.63082690637947,1.079648451004295,20.476294,89.1328540419512,8.709172575730253,19.980198,81.7878357080761,8.156646984698046,0.05526742359797254,0.06826915332163215,0.0372405462423804,20.352599076279027,0.09461913620126441,20.437236314443147,1.221375197358653,20.297137663946692,1.2466167667358603,-10.274215152619867,-10.361703763706686
