ID,significance,RA,DEC,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,DELVE_FOOTPRINT,DECALS_FOOTPRINT,EBV_FLAG,GOLD_STANDARD,RR_LYRAE
947,10.50057507,42.89328575,10.93789263,164.3802347,-42.06489275,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
948,9.25547123,42.55608426,15.21350963,160.7558372,-38.78108845,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
949,10.69215393,42.53573718,-24.49992634,214.0212453,-63.21766353,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
950,9.781830788,42.21789293,6.289107842,167.6276686,-46.14269757,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
951,9.119612694,41.53386885,5.423986822,167.6505891,-47.24324085,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
952,12.46883106,39.08900649,8.821866341,161.8616191,-45.96959739,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
953,11.76223755,38.97647141,7.482979739,162.8401283,-47.13246728,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
954,9.672809601,38.34935566,8.537112333,161.2176977,-46.61593561,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
955,11.28396225,37.83457242,22.17054294,151.482405,-35.10284093,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
956,9.170061111,37.34279507,16.67952592,154.2307876,-40.1662284,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
957,14.7643261,37.02248484,10.08269412,158.4120566,-46.02493036,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
958,9.58853817,36.74248602,-6.919593942,175.5870043,-59.63128413,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
959,9.034835815,36.3848185,8.261890631,159.0350553,-47.90399446,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
960,9.352155685,36.22100188,14.97360271,154.0590422,-42.18072012,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
961,9.163385391,36.19082593,14.91595159,154.0614936,-42.24529862,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
962,9.299371719,34.98628459,28.44163347,145.5411268,-30.5151621,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
963,9.265515327,34.76221052,23.11423987,147.8505889,-35.48262338,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
964,10.16093159,34.14422437,10.63234635,154.4496148,-46.96278979,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
965,10.56190491,32.59337866,16.05272096,149.1620311,-42.76287933,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
966,9.436220169,32.41047828,10.11077614,152.560598,-48.21079922,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
967,9.299987793,32.40022374,10.12539494,152.5372461,-48.20223088,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
968,9.661440849,32.16681868,7.484741326,154.0705161,-50.65837651,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
969,9.95717144,32.05204777,-43.57970773,264.6333465,-67.40231735,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
970,10.38988209,31.88112884,10.09921329,151.8651947,-48.45159203,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
971,9.450163841,31.58030618,11.73675019,150.4239641,-47.09849499,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
972,10.41051197,30.65911402,6.186758107,152.877534,-52.49583431,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
973,9.012458801,30.40256067,8.656519536,150.791036,-50.38065232,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
974,9.539855003,28.35863863,-38.60746124,258.3609308,-72.6893912,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
975,9.409935951,28.1619486,31.82108192,137.8287296,-29.27387693,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
976,9.157779694,22.40729324,-7.74218002,149.7108101,-68.60493095,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
977,11.63007545,21.89916466,-11.15292999,152.6857674,-71.90359212,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
978,9.249691963,21.74917987,-10.44559023,151.2793065,-71.33317147,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
979,9.753285408,21.21374303,-14.63871878,156.5326143,-75.28428056,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
980,9.802859306,21.01742293,8.06041652,136.7392055,-53.93423145,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
981,10.15694427,19.6936035,-10.30647861,145.179278,-71.98731652,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
982,9.010903358,19.04137547,-11.71429742,144.7642093,-73.52897422,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
983,9.972448349,18.93366029,35.11268214,128.5318372,-27.49473988,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
984,10.2170229,18.65341796,-11.09997809,142.8206378,-73.07054495,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
985,9.349813461,18.60304013,-11.0812605,142.6393412,-73.06791845,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
986,11.16568661,17.95382419,12.26146662,130.7393271,-50.30112065,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
987,9.053085327,17.31745599,-9.85379088,137.456713,-72.22082014,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
988,11.66183758,16.90839965,-11.554871,137.4387382,-73.96872961,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
989,9.42532444,16.72284601,13.08969935,128.7443928,-49.607564,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
990,9.767891884,16.33302946,-7.915035269,133.2921641,-70.50678881,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
991,11.55849266,16.13231333,-9.222504486,133.3426634,-71.82913563,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
992,10.97961521,15.72297857,-13.32533487,134.4744965,-75.93975069,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
993,10.34918022,15.521979,17.05274543,126.5805201,-45.74354068,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
994,9.791748047,15.38283517,-10.18329971,131.4011561,-72.88886179,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
995,9.229775429,15.27233702,18.27983855,126.1465979,-44.53165843,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
996,9.469585419,14.1255361,-7.943067783,126.742925,-70.77733281,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
997,10.07191086,13.84370775,-12.63809803,126.7652676,-75.48053523,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
998,9.026217461,13.20564128,-8.982706209,124.0297028,-71.85150234,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
999,9.30386734,13.19426287,-8.994852274,123.9942773,-71.86383754,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
1000,9.518069267,13.17909214,-13.50217857,124.2509134,-76.3706519,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
1001,10.27684116,13.06341223,-12.06873503,123.6994371,-74.93926696,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1002,10.009058,11.31683752,-8.557626658,118.1512387,-71.37207439,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1003,10.58026028,10.90505255,-14.90040075,114.0766304,-77.63753136,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1004,10.08139324,10.73298551,-9.35693787,116.0848878,-72.11551182,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1005,10.3966198,9.563081022,-14.67366989,108.422026,-77.17246052,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1006,9.987272263,9.181515265,-15.71527248,105.5260324,-78.08690779,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1007,9.929909706,8.681557796,-16.28220116,102.4285449,-78.48318475,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1008,9.334575653,7.543008698,44.34260251,118.9282032,-18.36376403,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1009,9.330348015,7.061265943,4.873382053,112.1307391,-57.51116571,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1010,10.42139149,7.005441386,-22.56814204,72.31205226,-83.00113352,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
1011,9.036319733,6.816087154,-22.29680381,72.98145402,-82.68918741,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1012,10.33967876,6.365803853,-21.32544793,75.97245618,-81.71234233,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1013,11.14277267,6.241943769,-15.90219732,92.90526129,-77.20382395,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
1014,9.558479309,5.482674648,-22.29823882,67.12412483,-81.74285891,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1015,10.01136303,5.297465896,-13.42105662,94.15912258,-74.57738902,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
1016,9.21543026,5.170593127,-20.54752844,74.41237337,-80.37346913,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1017,9.1092453,5.051596865,-8.814869416,99.51910769,-70.25383499,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1018,9.034213066,4.671553898,-15.52703007,88.02048416,-76.12704379,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1019,9.287181854,4.622550319,-26.44633989,36.36255329,-82.61681851,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1020,9.259476662,4.601021449,-26.35828135,37.02109375,-82.58623635,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
1021,10.88982773,4.565613229,-10.33761827,96.39642379,-71.47942625,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1022,9.606046677,3.855902225,-22.80133988,58.90120795,-80.76586101,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1023,9.100459099,3.646602595,24.84651643,112.4125487,-37.27134875,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1024,9.05714035,3.235833166,-13.28758991,88.00334415,-73.49105173,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1025,10.23481655,3.166699179,-21.28013623,64.34866685,-79.40671345,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1026,11.02814007,3.035799791,-10.07365763,92.56456191,-70.59220061,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1027,9.395997047,2.888260898,35.2352658,113.8045411,-26.92859853,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1028,9.130290031,2.845798995,13.26105313,108.1461294,-48.45740853,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1029,9.412840843,1.745786918,20.31523986,108.9979766,-41.35060414,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1030,9.813035965,1.476388837,-18.03497969,71.47551173,-76.11658315,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1031,9.408363342,1.345175124,-15.35169156,78.33919332,-74.08696478,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1032,9.755186081,1.298704006,-8.452787511,90.42340764,-68.35516606,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1033,9.842898369,0.503273901,5.812497283,101.1691364,-54.95724102,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1034,9.561603546,0.349701132,7.190360524,101.6970621,-53.60563897,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1035,9.441326141,0.117329529,5.358479476,100.2689058,-55.25468058,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
