,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
116,3918828250788673920,11.814852795213053,181.41701685224376,-1.3945950442675388,-0.5823665033942639,0.8458532878713148,0.5108819573021647,-0.10060967443412623,0.452054654111847,19.416029,0.5531501999999999,0.1503582,0.7035084,322.8008765505206,1.8222562072620727,19.566387,206.0633306750153,9.893597311892398,18.862879,228.88435613545718,11.620716280342677,0.09297150112158005,0.11694203802886864,0.06464014771830157,19.428091735483996,0.07056425259493047,19.478656173963884,0.6001551367414139,19.15241957632079,0.6346390638350008,-11.266049600444749,-11.17367978123281
135,3918828525666584192,11.836551520138155,181.3946447314921,-1.7696968885421445,-0.9247731551367964,0.30827627612252023,0.15859934594659927,-0.21978723920592724,0.14783312627324344,17.745163,0.6703243,0.48804474,1.1583691,1504.1163841499285,1.9385565411564136,18.233207999999998,703.5133863426993,8.956300648222166,17.074839,1188.0440519085855,11.286630328889613,0.085549056672462,0.11187057901338315,0.06334298871840131,17.764647338329215,0.016110426706208766,18.150548507144435,0.15913522084459888,17.365675650522785,0.11875222882894904,-13.021453159381068,-12.473326602591364
964,3918828736120816128,11.864832534950216,181.4147150998956,-1.5449479029923316,-0.7447423351808038,0.15250771486232154,0.07538257346546434,-0.17148246829669211,0.07487179377843935,16.342356,0.76936245,0.6576805,1.427043,5475.2464299593075,3.6192450473888416,17.000035999999998,2190.486385789441,15.506050227343108,15.572992999999999,4737.732111885382,16.926290376228973,0.08142251588062531,0.10937273763359366,0.06240402525831905,16.365968307410665,0.008262744640097732,16.919875866577836,0.08848520086644364,15.864769723400757,0.04465820876028053,-14.423630590344139,-13.623270471419648
1989,3918808115981946624,11.653243901256161,181.3824881686686,-1.157346038427126,-0.9440233216874117,0.3997322078887766,0.2371818621946551,-0.06356124427594274,0.2401653976586564,18.38264,0.69841385,0.4820938,1.1805077,836.1612763300477,1.5761510887540502,18.864735,393.2433815273631,12.530568961657435,17.684227,677.7617923954159,12.381021614792779,0.08520148574588156,0.11164589668024044,0.06327094948810415,18.402473386849532,0.02356230689837512,18.782300548382995,0.39830832349258233,17.9751363439632,0.22834389887622777,-12.38535920697728,-11.815604456361704
2624,3918830381092463744,11.89503855561314,181.45299796247608,-1.1823052730966896,-0.7450708778007757,0.3928875860023849,0.21693649000815848,-0.09838754513175232,0.21357141677791144,18.275375,0.66091156,0.3670063,1.0279179,922.9881608037157,1.5452591765431198,18.642382,482.6173015327732,16.729092443751426,17.614464,722.7406842425139,8.529796957678947,0.08762368291801437,0.1132483907097403,0.06374950147176024,18.292785991198116,0.020927397042633054,18.558344391686955,0.43329083910327343,17.904894242165255,0.14752519720504612,-12.477891355786511,-12.059169264253491
3414,3918830106214411008,11.88234001389852,181.46693416938822,-1.5483116954553289,-0.9675061438874438,0.43290698800361893,0.2343562414132867,-0.24706667399735344,0.24006624968138165,18.457272,0.611372,0.3593197,0.9706916999999999,780.6160521035832,1.429616762235626,18.816591,411.0729826226451,7.83122715692345,17.8459,583.9935173400554,6.6374947523648915,0.08854784610721328,0.11387764690391186,0.06391854631137067,18.47375845989529,0.022892444345448907,18.731925017770603,0.23813372223346543,18.13616138812967,0.1420712421303284,-12.28735337602118,-11.926137406841377
6342,3918827739688401792,11.776243713791207,181.3568676776152,-1.3471131544481878,-0.9323300956058505,0.26013006043650444,0.14794335885476784,-0.09732848720509517,0.13914844476293073,17.662422,0.7084961,0.55682945,1.2653254999999999,1623.220387171218,1.7500776075935016,18.219251999999997,712.6140888227883,10.433719879526636,16.953926,1327.9975152030247,11.90547943975874,0.08388223304488213,0.11081368602100924,0.06298636145214914,17.683574045278476,0.01347689461505715,18.13765030305072,0.18301841142312295,17.24512048247129,0.11206232789843197,-13.108503362412598,-12.457084080446819
6824,3918827391795209984,11.79095652489717,181.43109487408,-1.623170019752595,-0.803894936917507,0.3064438641780645,0.17912659406277293,0.012949630254053374,0.1940064884502173,17.934462,0.73441887,0.4879036,1.2223225,1263.4614875711345,1.614882792056885,18.422365,591.0299528399213,14.513784009193408,17.200043,1058.6471397038626,15.06245190507532,0.08454863491327372,0.11122973645251276,0.06313237272810308,17.954946344006157,0.015976771036778088,18.340346535864384,0.3069595698884237,17.491089556124855,0.1778502408896222,-12.835453613849591,-12.225184774311082
6992,3918807222628737664,11.623996825420573,181.41389543411563,-2.1251272299564503,-0.6901833991604807,0.7258267607730468,0.4409836411782026,-0.7391895543568705,0.4011956841336499,19.395132,0.69195366,0.26844406,0.9603976999999999,329.07412169267377,1.0403090000055433,19.663576000000003,188.4190941003088,8.760101594131411,18.703178,265.15287112023367,10.91361136948735,0.08871498103962669,0.11399218837533652,0.0639483791169851,19.411450691893304,0.03951651510359041,19.578795533075215,0.5811580320429063,18.993410785647242,0.5144961906021833,-11.347760215366542,-10.996917050088104
