,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
21,2323202511110385152,-26.638423427823486,4.651674865585656,0.5447703939820476,-1.2372375961397473,0.7264591738804762,0.6889258981882418,-0.515644568997233,0.5498699823381061,19.509382000000002,0.69550514,0.44637299999999996,1.1418781,296.2055452651955,1.2305907860436545,19.955755,143.96388282317622,5.074135332449961,18.813876999999998,239.45126282070618,4.090782511838516,0.03686831218149556,0.0480689443853569,0.027190230648262627,19.57754872609344,0.05193145459776485,19.9368971770778,0.44057363841407643,19.14086693992252,0.21354985058596088,-11.209450916808244,-10.650484846683899
4640,2323219141223782528,-26.43259032620871,4.658773155435461,0.9267881342399829,-2.0248560844843624,2.7616038839865453,1.3851808246834196,-1.1780014160843209,1.1613158492109723,20.322498,0.4620304,0.12260437,0.5846348000000001,140.0705161934533,1.2950747657822983,20.445103,91.73057322697277,8.178191227973805,19.860468,91.3231668906497,8.022965872445276,0.04082108281681962,0.05077344956968849,0.027848224465986914,20.386712094351267,0.11557346265448656,20.42354128184356,1.1144309552795129,20.186799366843577,1.0981558877130226,-10.277182950147743,-10.272306444389766
6024,2323223543565050368,-26.344733798898353,4.56739609342453,1.2350932683136246,-1.990142821771896,2.976156239733804,1.511487766133137,-0.4942328849460432,1.030874375740672,20.484735,0.61701965,-0.23485374,0.3821659,120.62914908352056,1.2272311754003125,20.249882,109.80002719048636,26.221165330638986,19.867716,90.71559910087244,11.997609775365081,0.04233538585536096,0.05177885116875712,0.028043063372270253,20.547433953330536,0.12716984086394084,20.227315029678195,2.985104603520413,20.193852003957343,1.6531900100808705,-10.033191938336941,-10.219175347321034
6290,2323217457596600320,-26.45686227083301,4.574406571627061,0.5853076325069977,-2.1432002870311364,0.3623661805800604,0.29913771298253505,-0.1971988611383651,0.25386736118784065,18.591385,0.588356,0.41941069999999997,1.0077667,689.9103556082547,1.403902764934131,19.010796,343.74533359586815,7.949719232849389,18.003029,505.3083917001954,9.095100336918495,0.037788993474720665,0.04868288578529907,0.02736771583085034,18.658629347051352,0.025436325776274037,18.991325086081233,0.28908462369832677,18.32984100750873,0.22498885052938897,-12.113245387516802,-11.686539710595813
6440,2323217839848952064,-26.47787456956161,4.625364464926324,1.206948613565745,-2.124106509981097,0.18643563725418535,0.15034391460436453,0.0775779426303104,0.1280103923831865,17.434145,0.5182457,0.37570190000000003,0.8939476000000001,2003.032827568656,1.8664619388874573,17.809847,1039.001588734512,9.524797632912273,16.9159,1375.3344786358027,7.023197144822935,0.03858604517082826,0.04922932854925965,0.02750814472055093,17.500593787392667,0.01164772434828881,17.789830142360245,0.1145907491406405,17.242571028844353,0.06383171924648158,-13.251164882405241,-12.93846717119429
87,2323651249293437952,-26.14220975012556,4.517445953581035,0.5591335857607007,-2.5063601157901934,2.7479699210650628,1.431788892875816,-0.058941123554713475,0.902868495049688,20.330173000000002,0.42687035,0.02487564,0.451746,139.08395569696046,1.1601095884252777,20.35505,99.66346351388252,16.627784054116585,19.903303,87.790306368859,11.304459311558857,0.041810614632559355,0.0514371027198968,0.027978260131138244,20.393396800397415,0.10426342695423411,20.33282295793207,2.085491446396557,20.229505328319135,1.6095825067607885,-10.218108362908175,-10.340022415413038
4442,2323647577096706816,-26.19255057836553,4.552679159203116,0.4335588755752641,-2.349353173396233,1.9279157900165345,1.1010261054641193,-0.0635438416013816,0.6821350238264624,19.94598,0.42492867,0.35967064,0.7845993,198.13193285779587,1.0988051492917819,20.30565,104.30248412337416,6.872997227169366,19.521051,124.838246580376,5.281128125265477,0.039364900615555136,0.04976925527410325,0.027634925213948825,20.01164890869178,0.06932282024425242,20.28509411488137,0.8236857066414214,19.847595924438647,0.5287970904278592,-10.71455569821238,-10.511693979813018
7336,2323646919966388992,-26.211732549103285,4.603766016716558,0.16821897080977954,-1.9759144987873305,0.9266489019926031,0.5891106348073482,-0.09680150206182517,0.4631646099617899,19.653055,0.20607376,-0.06485939,0.14121437,259.4920567294744,0.959775625625398,19.588196,201.96528160823257,11.042451275619069,19.446981,133.6518784227867,7.253721828204426,0.044186289494422604,0.05290513910061401,0.028252659188200694,19.713903539835872,0.04623338175173812,19.564503062305928,0.6834374692824032,19.77290967339245,0.678415626645592,-10.74175173848814,-11.132698797584784
8536,2323598026058957184,-26.32755491773705,4.65768676085064,1.0274066435382665,-2.4602766085416667,1.3794039610048858,1.5020186542442306,-0.22033942869616896,0.8554698556674867,20.244316,0.46322250000000004,0.1520977,0.6153202,150.52893166352138,1.092187360436823,20.396414,95.93785934149022,9.187421377380842,19.781094,98.24960025251998,5.752444870378049,0.04059502096424992,0.05061910223974069,0.027816935686237887,20.308755030635364,0.09069580083101558,20.375005838163894,1.197053676260155,20.10745608421362,0.7318661927877037,-10.365997997653853,-10.33118380346735
