,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
817,3940851365613585664,18.302495678162312,194.88362565877125,-2.8348294852486573,-2.4762798942818094,1.3841475024988796,0.6491805100898012,-0.6260432253148341,0.5419676037741347,20.036442,0.3530693,0.25675583,0.60982513,182.29270881252654,0.8098768593847514,20.293198,105.50579715610058,5.731613243765142,19.683372,107.50256009006712,4.554618066193648,0.06493863656111515,0.08099265959629584,0.04450070168481163,20.076538117278833,0.05553409573128106,20.241416532463138,0.6790637811215436,19.99305228141286,0.5295941397090598,-10.591507987286498,-10.575362137419809
1173,3940897167144813184,18.28235662403902,194.72456169390347,-3.7519471338939048,-3.4403657385476807,0.4643548481954903,0.2399811508517276,-0.0007042525790898253,0.1972187732409498,18.527217999999998,0.54598427,0.38741302,0.9333973,731.9123409926575,1.3568177127253824,18.91463,375.58041166786575,6.1417245539420025,17.981234,515.5546990971959,6.049715920332985,0.06122169065837215,0.07842119243826529,0.043921758991748445,18.571030634369293,0.023172476346094872,18.865421473486,0.20440777670845586,18.291491366882635,0.14667977837576773,-12.186018780940955,-11.846630162120636
1946,3940851228174616960,18.284566180902594,194.8647028698079,-2.8999484166697416,-2.8802362397705488,2.502850427628372,1.2709336045497808,-0.8302110460291764,0.8504909506716857,20.552854999999997,0.4726982,0.036943436,0.50964165,113.29336924597321,0.8045468261584094,20.589798000000002,80.28533285089735,6.288748140907107,20.080156,74.59432686987199,6.019432027623072,0.06612376236589346,0.08179582453582102,0.04466071723446661,20.591765006315274,0.08876808408041557,20.537213644886815,0.9791246915215377,20.389674784552945,1.0086946756225554,-10.038066007997976,-10.118538118220279
2543,3940898644613623296,18.342946296085547,194.83808389784141,-3.0793856032255693,-2.8356460769685192,0.9359627180726724,0.4552073940149623,-0.1539137878705302,0.3511842413232779,19.516136,0.4797268,0.29817009999999994,0.7778969,294.36899400854,0.9045616393876178,19.814306,163.99588563498682,7.175740523495069,19.03641,195.0760408556821,5.159705439551582,0.06298627151762595,0.07964364293037648,0.04421271209989798,19.55818356927921,0.03841104437791838,19.76387397579849,0.5469451638764314,19.346377455817326,0.33062142183882726,-11.162712306787729,-10.979809120774824
2599,3940848140094183168,18.18394190736833,194.90274087880573,-3.362238705534869,-2.0932863877636567,0.14224746448367873,0.08647902115389508,-0.00799182440900007,0.05927862513522124,16.389848999999998,0.3101139,0.15814781,0.46826172,5240.907125812957,32.30369203697587,16.547997,3321.6726788911633,76.42843851173085,16.079735,2970.8030780256904,47.447004470455944,0.0666177777287501,0.08212502307830125,0.04472450078403473,16.42826606319046,0.07704699601971338,16.49508289094628,0.2876127703574788,16.389190836183744,0.19963879809726334,-14.184332013230218,-14.303851146466318
5355,3940902802142038656,18.416958637764967,194.78115044344673,-3.837516953920796,-3.2316444217910933,0.7780721876909262,0.3901868398412831,0.06667334364254242,0.294831063327777,19.125967000000003,0.55997276,0.4556656,1.0156384,421.6571671789698,1.1394774735975737,19.581633,203.19001817456936,5.0457995214341835,18.565994,300.864211965325,6.375217026406264,0.06030531230328203,0.0777948474558002,0.04375735388403258,19.17069597092316,0.033779737494475263,19.533049229614193,0.3104113803648513,18.87641631826078,0.264871027064072,-11.60045968831865,-11.17857391309046
6363,3940896342511071872,18.263511670475854,194.74291887411357,-4.0643370360669415,-3.5916476531896797,0.5935067830893223,0.2991389489642978,-0.11507868027416154,0.24267161344944285,18.916477,0.42071152,0.24885368,0.6695651999999999,511.3936891112088,1.0552075588256042,19.165329999999997,298.14175438481186,7.530883657508977,18.495766,320.96813781412067,5.57155989865396,0.0642394499775789,0.0805120568305708,0.04440127344845931,18.957272139315837,0.025792446731683672,19.11403093642349,0.31574257659113636,18.805543920136763,0.21698259275039655,-11.731184920550454,-11.65628822857596
