,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
1644,1038202447095139200,58.666045807164224,139.54836792274014,1.2681938494585219,-1.9465718259555795,0.9996602498248568,0.96115304319298,0.04871949706753738,0.6516003418861077,20.066015,0.44243240000000006,0.06147194,0.50390434,177.3944270357416,1.1995053490450038,20.127487,122.90246169590931,7.9375224315988175,19.623583,113.58862439786671,6.757227125135393,0.07992833890067616,0.09886302179837017,0.05396537724133913,20.09112173095141,0.08452247972841662,20.057835523828405,0.8072989672125309,19.92379752250357,0.7436073771642465,-10.533215169873003,-10.626406501707002
2093,1038201656821156096,58.66646958682861,139.59636287123215,1.2008180448852337,-1.976482313689728,0.4945616257390426,0.6039889027751373,-0.030163032441551618,0.3214192501005102,19.03549,0.6397381,0.34824944,0.9879875,458.3002827790527,1.4795474958076031,19.38374,243.81463962645668,12.295152706039481,18.395751999999998,351.9389161047991,9.54539523462189,0.07319249803503067,0.09422819972239489,0.05293125989994212,19.06733218893513,0.040354205294067406,19.318722353079636,0.6303534892775833,18.69700050967655,0.33902883418906626,-11.698294001351112,-11.311166141361461
3050,1038197022551659392,58.534195617493275,139.71959033845405,0.7595917077092108,-2.6996646502653445,0.28412084168204954,0.32482443615315776,-0.017940149764944745,0.18847956954831746,18.250149,0.7006034999999999,0.49075127,1.1913548,944.6848193412526,2.0371079740690536,18.7409,440.7528185414283,12.742463236872089,17.549545000000002,767.2725707621063,8.740512184417605,0.07050790163640962,0.09244597336162444,0.052406809435087354,18.28467475712375,0.026954862780180607,18.677666281084196,0.36138348698030975,17.851319008368126,0.14239581404128565,-12.504442073127088,-11.916168278262244
4347,1038198117768074752,58.584339866836096,139.64929107764294,1.2350817660442357,-2.8740389711292837,0.3990579370579893,0.4231311835554709,-0.07994414962789376,0.28915011876178803,18.982689,0.62085724,0.40036583,1.0212231,481.1393056940426,1.2235796989742118,19.383055,243.9682919070652,9.403561519195957,18.361832,363.10743463025733,5.450059817963778,0.07274760260732334,0.09392571795695495,0.052849638299014436,19.014975304508788,0.03178860271063284,19.31834081808789,0.4818024427318845,18.663162508725826,0.18761870792846164,-11.755962396864117,-11.335522365576832
7137,1038215572515226112,58.754519795184116,139.36654726972912,1.2943490588141129,-2.981315271519563,0.7974719649129332,0.9846653616646328,-0.32968488939314505,0.5185539938014657,19.911210999999998,0.39531326,0.25869942,0.6540127,204.57922159925982,1.4026194741160771,20.16991,118.19282701187196,4.975378737255059,19.515898,125.43206231494196,5.692404695582641,0.07779023784705866,0.09740858420271724,0.05367286920737076,19.938455957566863,0.08570148663873105,20.101713614529146,0.5261929660878769,19.816405723633814,0.5672796682248821,-10.742343354531553,-10.690181324517805
4673,1038291683630299392,58.632022840460436,139.81709690913584,1.1053012752227704,-1.1629787943877925,2.3429375180148417,1.5218898028479015,-0.8102987312738,0.8664593895319108,20.468441000000002,1.2060547,0.74045753,1.9465122,122.45316435157395,0.9167993733401428,21.208899,45.39369388589881,7.387703522285785,19.262386,158.4213236333423,6.754801730430397,0.06139423127054819,0.08830588931167811,0.049833775773757555,20.5120807378569,0.09358673765137769,21.149805299073048,2.0343419123522564,19.566732130318954,0.5329776301187857,-10.171671080504282,-8.985956154373667
6425,1038292366530276608,58.65496284212776,139.72658513016717,1.4424249690702715,-1.8484143747366653,0.4810235288405613,0.5065321981724962,-0.049648197243251216,0.2806389915695806,18.865316,0.63578415,0.5324116,1.1681957,536.0675808433351,1.3930133009408838,19.397728,240.69313632671376,8.401990042150992,18.229532,410.16166849903806,5.0865320352623,0.07080901037223102,0.09263969564520166,0.052469643568829896,18.89954213042746,0.03248222217498706,19.334301039385284,0.43634345843716954,18.531242678668704,0.15501607128099504,-11.887990779302875,-11.32221120446762
