,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
1985,2660197842861511168,5.123040295176996,353.90808597655405,1.8036930267924345,-2.2764494101530466,2.03178973453004,1.1113926897880035,0.017854851179302952,0.9699001315768212,20.264019,0.56549644,0.5004215,1.065918,147.82197085398124,1.2041515475314188,20.76444,68.35632532203361,12.523887985518652,19.698523,106.01295096832995,8.079566976713965,0.19286154132356814,0.25088135056745187,0.14158309336045014,20.176190988016746,0.1018244734337294,20.54277187940949,2.29018454519705,19.91111959747505,0.9526627292838536,-10.591071384345579,-10.194044824379208
5247,2660200389776972928,5.115643807046373,353.87773807084375,1.7989864602864918,-2.043562085595045,1.0976429661037723,0.6865599059095577,0.06999028485576254,0.6059750833514135,19.760918,0.44504547,0.39809418,0.84313965,234.951843616962,1.1631799104543623,20.159012,119.38531241428896,4.962064983785296,19.315872,150.8060823630694,6.829544479469365,0.20086456920598603,0.25638286018916606,0.14300985229308819,19.66508828782293,0.0618839531405569,19.931839889196564,0.5195430747969669,19.527043002701312,0.5660866236670635,-11.052333066802106,-10.882084927928958
6236,2660195029658356992,5.00402062640614,353.7996912591178,2.1016752337527107,-2.4079024103202586,0.11496028391730748,0.07891830291495681,0.05168510736112043,0.06926638696886693,16.460703,0.45521736,0.28239822,0.7376156,4909.815683231927,86.48084566752567,16.743101,2775.333605937584,154.99705140270106,16.005485999999998,3181.074398870413,125.97211676050274,0.20475181502752882,0.259093381512856,0.14362619893458622,16.360985212942946,0.22017335081150877,16.513218632264092,0.6981009916749216,16.216039234835016,0.4950061715203633,-14.323769293613676,-14.259975736517546
6275,2756291207759344128,5.258896625513978,353.83179041182984,1.9003598661245775,-1.4257234157882206,0.8889644671403555,0.3918769871220376,0.061728274863479086,0.3956809917388645,19.100328,0.66062546,0.43396759999999995,1.094593,431.7330314355823,1.5183257509720187,19.534295999999998,212.244782637607,8.120590423199541,18.439703,337.9765264219015,10.151360416866535,0.19185218296955286,0.2502057605184027,0.14138601192035022,19.013509623688282,0.04396020342488446,19.313301681232222,0.47825618622301286,18.652497642706884,0.37544620791927535,-11.758265036066991,-11.332234854368991
8073,2756279353649607040,5.259158618273237,353.89728482741015,1.2920381584945304,-1.9929871784034043,1.6927188086920093,1.0079700610365914,-0.6142997221043273,1.0609486706994569,20.402224,0.7111759,0.2818756,0.9930515,130.15377981500666,1.1299719655491811,20.6841,73.60645515389858,7.853431075508974,19.691048000000002,106.74527155879268,11.188873133420666,0.19544803010364142,0.2526361328603499,0.1420696572506788,20.311810007301016,0.1085227765912043,20.460674110005613,1.3336858600052102,19.90315872674802,1.3102305341059193,-10.442025872502548,-10.11906154274553
