,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,a_g,a_bp,a_rp,ab_g,photo_g_mean_mag_error,ab_bp,photo_bp_mean_mag_error,ab_rp,photo_rp_mean_mag_error,mag_r_DECam,mag_g_DECam
183,2360484304708345216,-22.671793074447088,7.03006676756485,-1.6672433726586382,-3.4723055819584165,0.27766019094638594,0.2582531374911381,-0.2550033279690811,0.23764292162507575,18.236826,0.61818886,0.47453500000000004,1.0927238000000001,956.3483303922033,1.6814903269383428,18.71136,452.9090123625677,8.430734115097465,17.618637,719.9678175147533,12.705249883438091,0.027296392424474254,0.035420046804203305,0.01999138136229243,18.314563347560195,0.021978005731561678,18.705152546385793,0.23268288676568666,17.95282590876832,0.22058711470075085,-12.46854640944063,-11.95218912774364
289,2360556361375092992,-22.57849777391416,7.0305693398342095,-1.1912219402115791,-3.3268575978417427,0.19859701497529167,0.1682268097101833,0.05622325067184678,0.12746050774976256,17.46566,0.6541195,0.52184105,1.1759605,1945.7270058199115,1.8502324338019769,17.987501,882.1747308511062,7.9791113130264035,16.81154,1514.0900840734432,8.457045828205352,0.02688112844963077,0.03514844532197742,0.019907810062832515,17.543814104667703,0.011886510981934398,17.98156502062176,0.11306024523804231,17.14581290187491,0.06981953977808307,-13.245862506935968,-12.64854283281775
400,2360561236162750848,-22.447158707807212,6.926916972595952,-0.5965683814601029,-2.7273447776801163,1.2576167205586677,1.3260431772513899,-0.6279335502043496,0.9699850178765034,20.278309,0.59557724,0.22513579999999997,0.82071304,145.88906098373752,0.9289949321249452,20.503445000000003,86.93147356211897,6.517971146157057,19.682732,107.56611528313273,10.959997477934573,0.02869297727061384,0.036374003750155676,0.020238612352192625,20.354650200338213,0.07959772016667015,20.49628339288249,0.9372283246613041,20.01667267640296,1.2736349928932027,-10.382075959379549,-10.137111034607951
2004,2360507948503734528,-22.641443230485354,7.072542940851911,-1.1093356346581311,-3.0450002102470943,0.8805224261854895,0.7052593597824923,-0.3787598120530972,0.6034711733785416,19.745562,0.5004158,0.47636223,0.97677803,238.2987440606672,1.1247163539627791,20.221923999999998,112.66421743435859,9.191661672734384,19.245146,160.9569421875715,10.766200599201117,0.02788442450742955,0.03581637005800918,0.020101400709949875,19.82271119191933,0.058997182213245514,20.215318618849633,1.0198071182282997,19.579224317150146,0.8361087484700336,-10.945266779575242,-10.54381526073464
5188,2360555944762900736,-22.601360337430407,7.007680139974301,-1.1110656235015248,-3.3823591880361534,1.3311538472745346,1.3775117230841478,-0.664151456345105,1.027059856713217,20.44764,0.6374283000000001,0.10011673,0.737545,124.82172181707371,0.8774177818818758,20.547756,83.45502012128874,7.718980353867287,19.810211,95.64962177696384,9.048644974472733,0.029131587060675878,0.03667833237770024,0.020307045377039066,20.523542990350386,0.08786709647858126,20.540290502160257,1.1561587820973747,20.14408481198447,1.1825249287932886,-10.191482197118049,-10.02978648332508
6196,2360560892565344256,-22.468599104328128,6.964872156111575,-0.9469809552438541,-4.014172565030806,0.3867175364660552,0.35885154629183585,-0.1331755313042761,0.26900764607347,18.71933,0.50992775,0.32325745,0.8331851999999998,613.2173235465032,1.1698110831128397,19.042587,333.82591508739534,4.85939866363509,18.209401999999997,417.8374521009302,8.069579267252836,0.028627658679613317,0.036328693936031504,0.020228078781881865,18.79573630310532,0.02384576882848221,19.0354711856419,0.18195856148416845,18.543353509753423,0.24140904634918892,-11.943942991570623,-11.686459573379537
