,source_id,dec,ra,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,g_rp,bp_g,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error
351,3.6947E+18,-1.778258004,185.9115631,-1.856841925,-1.587827104,0.650408555,0.346071734,0.36419386,0.334638311,18.7071,0.5856304,0.27560043,0.86123085,620.163923,1.358747087,18.9827,352.7566366,11.81390606,18.12147,453.0854003,6.235874827
2048,3.69469E+18,-1.820663131,186.0652481,-2.359703295,-1.639412553,0.252294596,0.144183668,-0.340063754,0.134653119,17.112202,0.38694,0.16773033,0.55467033,2694.421252,40.11214702,17.279932,1692.710689,88.12081413,16.725262,1639.318047,57.70246222
2703,3.6947E+18,-1.757881038,185.9767798,-1.83971638,-1.458792987,0.231412667,0.136968008,-0.028395952,0.12304264,16.89397,0.6572342,0.48350906,1.1407433,3294.261366,2.935274966,17.37748,1547.260737,7.914949234,16.236736,2570.830282,8.658994556
2709,3.6947E+18,-1.769745492,185.9509387,-1.794859284,-1.570039742,1.559955578,0.718909157,-0.148532186,0.819093107,19.894472,0.54761696,0.16657448,0.71419144,207.7578014,1.04645622,20.061047,130.6582847,6.078973728,19.346855,146.5636491,6.314566611
2846,3.69469E+18,-1.785464714,186.0166459,-1.818842444,-1.377199793,2.051190498,1.076516041,1.905339262,1.091935456,20.433802,0.65306854,0.013328552,0.6663971,126.4228939,0.868854993,20.44713,91.55941241,5.825455037,19.780733,98.2822533,6.180285509
