,SIGNIFICANCE,RA,DEC,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,DELVE_FOOTPRINT,DECALS_FOOTPRINT,EBV_FLAG,PMRA,PMDEC,RR_LYRAE,NSTARS,MAG_AVG,MAG_MAX
574,11.75568104,164.7582985,47.47542607,162.5909624,60.07632791,FALSE,TRUE,FALSE,TRUE,FALSE,-0.034531095,0.091939575,FALSE,8,19.819126,18.023125
576,11.75282955,190.7674295,25.8870575,246.0054713,87.75387314,FALSE,TRUE,FALSE,TRUE,FALSE,-0.172916313,0.209529917,FALSE,8,20.130782,19.433971
577,11.75056458,199.6182763,53.23292906,113.8745999,63.41731507,FALSE,TRUE,FALSE,TRUE,FALSE,-0.298574571,-0.509267398,FALSE,14,19.691865,17.93145
578,11.74892712,58.67226226,11.75165384,177.8851713,-30.9609481,FALSE,TRUE,FALSE,FALSE,TRUE,-0.091280578,-1.695021659,FALSE,16,19.35144538,17.931864
579,11.74886322,2.132632463,41.80516967,114.4218032,-20.35647169,FALSE,TRUE,FALSE,FALSE,FALSE,-1.754104311,-1.481831545,FALSE,300,19.36987454,16.140177
580,11.74873257,98.49470928,59.24161824,156.021771,20.92841053,FALSE,TRUE,FALSE,TRUE,FALSE,0.127712025,-0.46720603,FALSE,4993,19.35732632,12.936151
581,11.74820614,77.20874149,-3.356103712,203.7818272,-24.28621178,FALSE,TRUE,FALSE,TRUE,FALSE,0.126576951,-0.243764553,FALSE,158,19.40594155,16.199633
582,11.74722481,189.5176872,46.60056474,129.7722172,70.3497492,FALSE,TRUE,FALSE,TRUE,FALSE,0.138542173,-0.086395792,FALSE,5,19.7086778,18.52726
583,11.74644566,120.9446793,36.5175844,184.3716134,29.56304955,FALSE,TRUE,FALSE,TRUE,FALSE,-0.167925098,-0.558236071,FALSE,56,19.21550173,16.640518
584,11.74602699,54.77151739,26.56297429,163.3535752,-22.86030223,FALSE,TRUE,FALSE,FALSE,FALSE,-0.03308253,-0.91328624,TRUE,4127,19.10170074,13.871886
585,11.73934269,208.4580621,60.14665767,109.3317475,55.30349888,FALSE,TRUE,FALSE,TRUE,FALSE,-3.572186624,-3.677287825,FALSE,9,19.733403,18.223188
586,11.73907661,198.4436313,43.24809856,108.6887677,73.25701076,FALSE,TRUE,FALSE,TRUE,FALSE,-2.049777747,-2.017713679,FALSE,9,20.00970889,19.219334
587,11.73833847,101.6355093,-46.46418439,255.7670594,-20.0998626,FALSE,FALSE,TRUE,FALSE,FALSE,-0.37759126,3.026392877,FALSE,68,19.3203661,14.775594
588,11.73436165,207.0271925,32.37149746,59.43849344,76.6436647,FALSE,TRUE,FALSE,TRUE,FALSE,-0.123515514,-0.041889921,FALSE,51,19.83869765,18.177088
589,11.72973347,200.3663128,66.94045364,118.373307,49.92118086,FALSE,TRUE,FALSE,TRUE,FALSE,-0.326071481,-0.052600239,FALSE,18,19.75425767,18.10214
590,11.72571373,169.5567318,41.62771733,169.6806091,66.04776127,FALSE,TRUE,FALSE,TRUE,FALSE,0.062388401,0.047431759,FALSE,30,19.6621798,17.527641
591,11.72306156,107.9564565,59.60213652,156.9342893,25.67777151,FALSE,TRUE,FALSE,TRUE,FALSE,-0.000931615,-0.446335905,FALSE,659,19.29071526,12.25875
593,11.71879482,148.4508053,40.39310865,181.2718132,51.2339576,FALSE,TRUE,FALSE,TRUE,FALSE,-0.004917721,0.285316669,FALSE,7,19.89898571,18.974182
594,11.71661091,225.696065,54.9513183,91.45351334,53.39165076,FALSE,TRUE,FALSE,TRUE,FALSE,0.124962366,-0.140288564,FALSE,8,19.728937,17.791018
595,11.71364594,148.9350994,60.22525593,152.4109913,45.57043108,FALSE,TRUE,FALSE,TRUE,FALSE,0.02039145,-0.05746783,FALSE,55,19.81154315,17.481869
596,11.71226597,130.704548,6.889800124,219.7323231,27.86537755,FALSE,TRUE,FALSE,TRUE,FALSE,-1.092495097,-0.237850958,FALSE,99,19.39616157,16.643179
597,11.7092762,31.93049809,39.40115183,138.6368449,-21.13292109,FALSE,TRUE,FALSE,FALSE,FALSE,-0.50909437,-0.746098779,FALSE,549,19.10565824,13.248907
598,11.70844078,127.265585,49.0634149,170.3211403,35.83273375,FALSE,TRUE,FALSE,TRUE,FALSE,0.116823476,-0.325413642,FALSE,25,19.30974852,14.01007
599,11.70833683,153.4803518,-1.110345518,243.1623201,42.76275524,FALSE,TRUE,TRUE,TRUE,FALSE,-0.330532475,0.057279938,FALSE,33,19.19367479,16.702995
600,11.7080555,180.9414268,34.01541272,176.1306342,77.65618061,FALSE,TRUE,FALSE,TRUE,FALSE,0.051591969,0.000438965,FALSE,35,19.88264237,17.678263
601,11.70767117,77.97301321,-0.317961295,201.2871451,-22.15112322,FALSE,TRUE,FALSE,FALSE,FALSE,0.250905195,-0.236469881,FALSE,4003,19.22086526,14.043462
602,11.70692921,151.1277837,42.51611358,177.3806942,52.91151056,FALSE,TRUE,FALSE,TRUE,FALSE,-0.12443516,-0.170804179,FALSE,15,19.226945,16.65172
604,11.70640945,102.2329705,54.7869871,161.2347347,21.5266402,FALSE,TRUE,FALSE,TRUE,FALSE,0.232799283,-0.59094038,TRUE,3721,19.37624043,13.465348
605,11.70502853,215.4020803,49.49390758,91.22962127,61.71560855,FALSE,TRUE,FALSE,TRUE,FALSE,-0.004632564,0.06022915,FALSE,18,19.645855,18.177818
606,11.70285797,182.5603597,4.289542133,277.8441565,65.13507896,FALSE,TRUE,FALSE,TRUE,FALSE,0.198687919,-0.211420489,FALSE,11,19.46254618,17.922443
607,11.70136929,160.3701872,56.88924195,151.6577689,52.37421391,FALSE,TRUE,FALSE,TRUE,FALSE,-0.097729295,-0.094988084,FALSE,46,19.8981377,17.979296
609,11.69887638,184.3545578,49.70323352,136.8101548,66.49829292,FALSE,TRUE,FALSE,TRUE,FALSE,-0.049650997,-0.122686799,FALSE,92,19.76127341,16.82436
610,11.69850445,80.40683985,-2.258979806,204.3761572,-20.95367376,FALSE,TRUE,FALSE,FALSE,TRUE,0.288349891,-0.193473033,FALSE,5142,19.31408521,13.628287
611,11.69774055,203.5804432,48.99941042,105.0266952,66.61115717,FALSE,TRUE,FALSE,TRUE,FALSE,-0.149557648,-0.039619023,FALSE,22,19.60762005,17.430885
612,11.69708538,0.951757003,-23.2878458,49.93768929,-78.56876154,FALSE,TRUE,FALSE,FALSE,FALSE,-0.155699666,0.022461803,FALSE,22,19.27987586,16.352062
613,11.69698334,74.84769052,6.279835227,193.4631354,-21.44451675,FALSE,TRUE,FALSE,FALSE,FALSE,0.517786952,-0.46708324,FALSE,451,19.08874424,15.729005
614,11.69640636,108.6421748,43.14797993,174.5412923,22.1643046,FALSE,TRUE,FALSE,TRUE,FALSE,0.052139717,-0.901766924,FALSE,247,19.30774159,15.110054
615,11.69201279,75.23519105,2.346313045,197.3010154,-23.1817137,FALSE,TRUE,FALSE,FALSE,FALSE,0.208710461,-0.267702374,TRUE,2696,19.18707594,14.551147
616,11.69055176,122.5117235,16.7979168,205.9509075,24.7284782,FALSE,TRUE,FALSE,TRUE,FALSE,-0.339639129,-0.221901654,FALSE,40,19.40358963,17.047817
