,SIGNIFICANCE,RA,DEC,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,DELVE_FOOTPRINT,DECALS_FOOTPRINT,EBV_FLAG,PMRA,PMDEC,EDR3,RR_LYRAE,NSTARS,MAG_AVG,MAG_MAX
164,10.091609,187.7260416,40.87468161,138.7371965,75.61717378,FALSE,TRUE,FALSE,TRUE,FALSE,0.085868467,0.26596685,10.42673492,FALSE,11,19.52602155,18.10741
165,9.299351692,232.0829519,37.49366661,60.45563497,55.54571179,FALSE,TRUE,FALSE,TRUE,FALSE,-1.950698842,-2.170987491,10.37007618,FALSE,6,19.13526233,16.439493
166,9.188048363,196.3506851,-6.141496348,309.2396553,56.55912331,FALSE,TRUE,TRUE,TRUE,FALSE,-0.858588021,-0.52957875,10.36996555,FALSE,8,18.86140288,17.080023
167,9.066623688,128.2170397,8.137045752,217.2372925,26.22228575,FALSE,TRUE,FALSE,TRUE,FALSE,-2.284090175,-0.560862645,10.36629391,FALSE,16,19.49531419,17.537767
168,9.403039932,136.6749787,48.36411221,170.9584666,42.05675491,FALSE,TRUE,FALSE,TRUE,FALSE,-0.167279663,-0.283990106,10.3552599,FALSE,17,19.10454141,16.648304
169,9.755929947,136.7515467,48.39132862,170.9156947,42.10491594,FALSE,TRUE,FALSE,TRUE,FALSE,-0.19844861,-0.347724068,10.3552599,FALSE,12,19.09694,17.93487
170,11.02327156,158.0391799,50.37082707,162.1224264,54.80578737,FALSE,TRUE,FALSE,TRUE,FALSE,0.883341193,-0.191595267,10.35060215,FALSE,6,19.770049,19.322847
171,9.050893784,194.6979294,-7.935999339,306.0989064,54.89052214,FALSE,TRUE,TRUE,TRUE,FALSE,-1.892108638,-1.064396982,10.34329414,FALSE,8,19.507231,16.882328
172,10.56752396,209.1840941,25.25157217,29.30326092,75.24236636,FALSE,TRUE,FALSE,TRUE,FALSE,0.007508472,0.058178179,10.34016323,FALSE,7,18.87622757,16.506086
173,9.187573433,205.4370168,33.75429688,67.4432911,77.30741423,FALSE,TRUE,FALSE,TRUE,FALSE,0.020387676,0.05281299,10.33087349,FALSE,5,19.5142924,18.13741
