,SIGNIFICANCE,RA,DEC,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,DELVE_FOOTPRINT,DECALS_FOOTPRINT,EBV_FLAG,PMRA,PMDEC,EDR3,RR_LYRAE,NSTARS,MAG_AVG,MAG_MAX
433,9.01657486,125.6732124,39.21302955,182.1362043,33.75511274,FALSE,TRUE,FALSE,TRUE,FALSE,0.186785865,-0.962731133,0,FALSE,11,19.098504,16.284048
434,10.06590748,125.6931355,24.59983126,198.8893273,30.25410587,FALSE,TRUE,FALSE,TRUE,FALSE,-0.15666164,-0.446109042,0,FALSE,11,19.11913191,17.387005
435,9.557224274,125.7034228,24.59284635,198.9004015,30.26079797,FALSE,TRUE,FALSE,TRUE,FALSE,-0.1286484,-0.38958373,0,FALSE,10,19.0866048,17.387005
436,9.712958336,126.0443863,72.74141917,141.8298547,32.64335748,FALSE,TRUE,FALSE,TRUE,FALSE,0.195423453,0.017846276,0,FALSE,13,19.10362269,14.952907
437,10.35678864,126.1274903,61.42982671,155.2130355,34.65228646,FALSE,TRUE,FALSE,TRUE,FALSE,1.026237177,-0.188543696,0,FALSE,9,19.39762311,18.077837
438,10.0336647,126.1957088,12.46279241,211.9291166,26.27270926,FALSE,TRUE,FALSE,TRUE,FALSE,-0.062609692,-1.231516935,0,FALSE,17,19.41645988,17.79359
439,10.50859165,126.6241082,22.7438132,201.2435207,30.46745134,FALSE,TRUE,FALSE,TRUE,FALSE,-0.250376813,-0.647384677,0,FALSE,31,18.95995581,13.383561
440,10.15951157,126.6760497,29.23626582,193.9879013,32.43299603,FALSE,TRUE,FALSE,TRUE,FALSE,-0.219246324,-0.688306696,0,FALSE,17,19.12823276,17.577614
441,11.0802784,126.8111839,56.37704028,161.3265542,35.43375875,FALSE,TRUE,FALSE,TRUE,FALSE,0.505824746,-0.571092897,0,FALSE,14,18.70066654,15.4348955
442,9.41112709,126.8199575,54.19721995,164.0006078,35.53882095,FALSE,TRUE,FALSE,TRUE,FALSE,3.048179711,-3.694935291,0,FALSE,7,19.73804429,18.167303
443,9.81291008,127.8538029,54.59658583,163.476985,36.12320707,FALSE,TRUE,FALSE,TRUE,FALSE,0.612659761,-0.361829866,0,FALSE,6,19.21289417,18.543478
444,9.456361771,127.939149,47.93695845,171.7294668,36.24658279,FALSE,TRUE,FALSE,TRUE,FALSE,1.51075397,-3.6290404,0,FALSE,9,20.01866789,17.750616
445,9.303952217,129.6149458,43.06474695,177.8763088,37.16199776,FALSE,TRUE,FALSE,TRUE,FALSE,0.006035021,-0.034587558,0,FALSE,5,18.9578826,17.533974
446,9.188405991,130.0020173,15.42377571,210.5176744,30.8416197,FALSE,TRUE,FALSE,TRUE,FALSE,-0.397533875,-0.106633908,0,FALSE,13,19.23623785,17.401066
447,9.844373703,130.192231,62.65723521,153.37104,36.35130034,FALSE,TRUE,FALSE,TRUE,FALSE,0.893843135,-0.445670243,0,FALSE,8,18.15673813,15.770648
448,10.63789558,130.3780192,61.98642185,154.1700273,36.56217311,FALSE,TRUE,FALSE,TRUE,FALSE,0.784504958,-0.77836696,0,FALSE,12,19.65556033,18.541237
449,9.822568893,130.6106689,35.42080418,187.509287,37.01225713,FALSE,TRUE,FALSE,TRUE,FALSE,-0.962106991,-3.770919821,0,FALSE,9,19.75898778,17.324316
450,11.20619202,130.6662749,71.70281567,142.5701199,34.28232423,FALSE,TRUE,FALSE,TRUE,FALSE,1.337482996,-0.800903905,0,FALSE,16,19.05669881,17.482231
451,9.059080124,131.4367636,47.80268945,171.9277705,38.59119763,FALSE,TRUE,FALSE,TRUE,FALSE,0.051100194,-0.211860565,0,FALSE,8,18.97162175,17.42718
452,9.50092411,131.566179,61.83987109,154.2139988,37.13936742,FALSE,TRUE,FALSE,TRUE,FALSE,-0.073047552,-0.129280765,0,FALSE,11,19.21950118,17.80507
453,9.214155197,131.6331511,62.51300174,153.3804558,37.03018345,FALSE,TRUE,FALSE,TRUE,TRUE,0.913686056,-1.077175882,0,FALSE,6,19.49448717,18.90475
454,9.257790565,131.999011,18.09718175,208.4275161,33.61247696,FALSE,TRUE,FALSE,TRUE,FALSE,0.715116056,-2.611149888,0,FALSE,8,20.02441625,19.208227
455,9.223138809,132.075878,40.18075517,181.7107907,38.76277178,FALSE,TRUE,FALSE,TRUE,FALSE,-0.860151827,-0.167042915,0,FALSE,10,19.2481813,16.939863
456,9.484291077,132.6458595,65.62730728,149.4683424,36.71217077,FALSE,TRUE,FALSE,TRUE,FALSE,-0.186717531,-1.127358627,0,FALSE,8,19.8178535,17.902231
457,9.61638546,132.6458595,65.62730728,149.4683424,36.71217077,FALSE,TRUE,FALSE,TRUE,FALSE,-0.186717531,-1.127358627,0,FALSE,8,19.8178535,17.902231
458,9.103549957,133.9162503,37.65543424,185.1394678,39.94568778,FALSE,TRUE,FALSE,TRUE,FALSE,-0.136641947,-3.789811899,0,FALSE,7,18.91784414,17.287495
459,9.30575943,133.9682265,36.69380712,186.391373,39.87941352,FALSE,TRUE,FALSE,TRUE,FALSE,-1.161439337,-0.979073466,0,FALSE,6,19.5960305,18.012394
460,9.052191734,134.3268404,51.90660092,166.4805064,40.20209611,FALSE,TRUE,FALSE,TRUE,FALSE,-0.528150059,-2.848128921,0,FALSE,7,19.03067986,16.20432
461,9.691917419,135.0288546,62.1166965,153.3924068,38.6566441,FALSE,TRUE,FALSE,TRUE,FALSE,0.229631239,0.020744119,0,FALSE,10,19.3396265,18.144598
